,source,target,stimulation,inhibition,mode_of_action
4130,Q16539,P23769,1,0,1.0
4131,Q14186,Q01094,1,0,1.0
4132,O43318,P26045,0,0,0.1
4133,O96013,P35222,1,0,1.0
4134,P01137,Q06710,0,1,-1.0
4135,P01137,P27986,1,0,1.0
4136,P01137,P63151,1,0,1.0
4137,P00533,P20936,0,0,0.1
4138,P20936,P00533,0,0,0.1
4139,O00712,P08651,0,1,-1.0
4140,P41743,Q9H8V3,1,0,1.0
4141,P36897,P68104,0,1,-1.0
4142,P36897,P27986,1,0,1.0
4143,P36897,O00459,1,0,1.0
4144,P36897,P63000,1,0,1.0
4145,P36897,P61586,1,0,1.0
4146,P17252,P10721,0,1,-1.0
4147,P36897,Q9H3D4,0,0,0.1
4148,P37173,Q9NPB6,1,0,1.0
4149,P37173,P27986,1,0,1.0
4150,P37173,O00459,1,0,1.0
4151,P68400,Q01892,0,1,-1.0
4152,Q06413,P15172,1,0,1.0
4153,P37173,O95405,1,0,1.0
4154,P07996,P01138,1,0,1.0
4155,P31749,Q5T1C6,0,0,0.1
4156,Q5T1C6,P31749,0,1,-1.0
4157,Q5T1C6,Q9Y243,0,1,-1.0
4158,Q5T1C6,P31751,0,1,-1.0
4159,P06493,P52926,0,1,-1.0
4160,P68400,P45984,1,0,1.0
4161,Q9H461,O75581,1,0,1.0
4162,Q9UKI8,Q99638,1,0,1.0
4163,P14780,P01137,1,0,1.0
4164,Q99986,P05412,1,0,1.0
4165,P31751,P56278,0,0,0.1
4166,P56278,P31751,1,0,1.0
4167,P42345,Q9Y243,1,0,1.0
4168,Q9Y243,P42345,0,0,0.1
4169,P31751,P42345,0,0,0.1
4170,P42345,P31751,1,0,1.0
4171,Q9NR97,Q86XR7,1,0,1.0
4172,Q9BXR5,Q86XR7,1,0,1.0
4173,O60602,Q86XR7,1,0,1.0
4174,Q9Y2C9,Q86XR7,1,0,1.0
4175,Q9NR96,Q86XR7,1,0,1.0
4176,Q9NYK1,Q86XR7,1,0,1.0
4177,Q15399,Q86XR7,1,0,1.0
4178,Q9NR97,P58753,1,0,1.0
4179,Q9BXR5,P58753,1,0,1.0
4180,O60603,P58753,1,0,1.0
4181,O15455,P58753,1,0,1.0
4182,O60602,P58753,1,0,1.0
4183,Q9Y2C9,P58753,1,0,1.0
4184,Q9NR96,P58753,1,0,1.0
4185,Q9NYK1,P58753,1,0,1.0
4186,Q15399,P58753,1,0,1.0
4187,Q9BXR5,Q9NR97,1,0,1.0
4188,Q9NR97,Q9BXR5,1,0,1.0
4189,O60603,Q9NR97,1,0,1.0
4190,Q9NR97,O60603,1,0,1.0
4191,O00206,Q9NR97,1,0,1.0
4192,Q9NR97,O00206,1,0,1.0
4193,O15455,Q9NR97,1,0,1.0
4194,Q9NR97,O15455,1,0,1.0
4195,O60602,Q9NR97,1,0,1.0
4196,Q9NR97,O60602,1,0,1.0
4197,Q9NR97,Q9Y2C9,1,0,1.0
4198,Q9Y2C9,Q9NR97,1,0,1.0
4199,Q9NR96,Q9NR97,1,0,1.0
4200,Q9NR97,Q9NR96,1,0,1.0
4201,Q9NR97,Q9NYK1,1,0,1.0
4202,Q9NYK1,Q9NR97,0,0,0.1
4203,Q15399,Q9NR97,1,0,1.0
4204,Q9NR97,Q15399,1,0,1.0
4205,O60603,Q9BXR5,1,0,1.0
4206,Q9BXR5,O60603,1,0,1.0
4207,O00206,Q9BXR5,1,0,1.0
4208,Q9BXR5,O00206,1,0,1.0
4209,O15455,Q9BXR5,1,0,1.0
4210,Q9BXR5,O15455,1,0,1.0
4211,O60602,Q9BXR5,1,0,1.0
4212,Q9BXR5,O60602,1,0,1.0
4213,Q9BXR5,Q9Y2C9,1,0,1.0
4214,Q9Y2C9,Q9BXR5,1,0,1.0
4215,Q9BXR5,Q9NR96,1,0,1.0
4216,Q9NR96,Q9BXR5,1,0,1.0
4217,Q9BXR5,Q9NYK1,1,0,1.0
4218,Q9NYK1,Q9BXR5,1,0,1.0
4219,Q15399,Q9BXR5,1,0,1.0
4220,Q9BXR5,Q15399,1,0,1.0
4221,O00206,O60603,0,0,0.1
4222,O60603,O00206,1,0,1.0
4223,O15455,O60603,1,0,1.0
4224,O60603,O15455,1,0,1.0
4225,O60602,O60603,1,0,1.0
4226,O60603,O60602,1,0,1.0
4227,O60603,Q9NR96,1,0,1.0
4228,Q9NR96,O60603,1,0,1.0
4229,O60603,Q9NYK1,1,0,1.0
4230,Q9NYK1,O60603,1,0,1.0
4231,O00206,O15455,1,0,1.0
4232,O15455,O00206,1,0,1.0
4233,O00206,O60602,1,0,1.0
4234,O60602,O00206,1,0,1.0
4235,O00206,Q9Y2C9,1,0,1.0
4236,Q9Y2C9,O00206,1,0,1.0
4237,O00206,Q9NR96,1,0,1.0
4238,Q9NR96,O00206,1,0,1.0
4239,O00206,Q9NYK1,1,0,1.0
4240,Q9NYK1,O00206,1,0,1.0
4241,O00206,Q15399,0,0,0.1
4242,Q15399,O00206,1,0,1.0
4243,O15455,O60602,1,0,1.0
4244,O60602,O15455,1,0,1.0
4245,O15455,Q9Y2C9,1,0,1.0
4246,Q9Y2C9,O15455,1,0,1.0
4247,O15455,Q9NR96,1,0,1.0
4248,Q9NR96,O15455,1,0,1.0
4249,O15455,Q9NYK1,1,0,1.0
4250,Q9NYK1,O15455,1,0,1.0
4251,O15455,Q15399,1,0,1.0
4252,Q15399,O15455,1,0,1.0
4253,O60602,Q9Y2C9,1,0,1.0
4254,Q9Y2C9,O60602,1,0,1.0
